"Question","Answer"
"1956년 4월 26일,
크레인 한 대가
뉴저지주 뉴어크에 정박한 낡은 유조선 위로
58개의 알루미늄 트럭 적재함을
들어 올렸다.","On April 26, 1956,
a crane lifted
fifty-eight aluminum truck bodies
aboard an aging tanker ship
moored in Newark, New Jersey."
"5일 후,
아이디얼-X호는 휴스턴에 입항했고,
그곳에서 58대의 트럭이
그 금속 상자들을 싣고
목적지까지 운반하기 위해
대기하고 있었다.","Five days later,
the Ideal-X sailed into Houston,
where fifty-eight trucks waited
to take on the metal boxes
and haul them to their destinations."
"그것이 혁명의 시작이었다.","Such was the beginning of a revolution."
"수십 년 후,
거대한 트레일러 트럭들이 고속도로를 지배하고
상자 더미만을 실은 열차들이 밤을 가르며 달리는 지금,
컨테이너가 세상을 얼마나 바꾸어 놓았는지
가늠하기란 어렵다.","Decades later,
when enormous trailer trucks rule the highways
and trains hauling nothing but stacks of boxes
rumble through the night,
it is hard to fathom
just how much the container has changed the world."
"1956년에
중국은 세계의 공장이 아니었다.","In 1956,
China was not the world's workshop."
"캔자스 한가운데 가게에서
브라질산 신발과 멕시코산 진공청소기를 찾는 것은
일상적인 일이 아니었다.","It was not routine
for shoppers to find Brazilian shoes and Mexican vacuum cleaners
in stores in the middle of Kansas."
"일본 가정은
와이오밍에서 사육된 소의 쇠고기를 먹지 않았고,
프랑스 의류 디자이너들은
자신들의 고급 의류를
터키나 베트남에서 재단하고 봉제하지 않았다.","Japanese families did not eat beef
from cattle raised in Wyoming,
and French clothing designers did not have
their exclusive apparel cut and sewn
in Turkey or Vietnam."
"컨테이너 이전에,
물건을 운송하는 것은 비쌌다
—너무 비싸서
많은 물건을 나라 반대편으로 보내는 것조차
수지가 맞지 않았고,
지구 반대편으로 보내는 것은
말할 것도 없었다.","Before the container,
transporting goods was expensive
—so expensive
that it did not pay to ship many things
halfway across the country,
much less halfway around the world."
"컨테이너의 무엇이
그토록 중요한 것일까?","What is it about the container
that is so important?"
"분명 그것 자체는 아닐 것이다.","Surely not the thing itself."
"용접과 리벳으로 결합된,
나무 바닥과 한쪽 끝에 두 개의 거대한 문이 달린,
영혼 없는 알루미늄 또는 강철 상자:
표준 컨테이너는
깡통만큼의 낭만도 갖추고 있다.","A soulless aluminum or steel box
held together with welds and rivets,
with a wooden floor and two enormous doors at one end:
the standard container
has all the romance of a tin can."
"이 실용적인 물건의 가치는
그것이 무엇인가에 있는 것이 아니라,
어떻게 사용되는가에 있다.","The value of this utilitarian object
lies not in what it is,
but in how it is used."
"컨테이너는
어디에서든 어디로든,
최소한의 비용과 복잡함으로
물건을 이동시키는
고도로 자동화된 시스템의 핵심에 있다.","The container is at the core of
a highly automated system
for moving goods from anywhere, to anywhere,
with a minimum of cost and complication on the way."
"컨테이너는 해운을 저렴하게 만들었고,
그렇게 함으로써
세계 경제의 모습을 바꾸었다.","The container made shipping cheap,
and by doing so
changed the shape of the world economy."
"한때 모든 항구에서
배에 짐을 싣고 내리며 생계를 꾸렸던
저임금의, 열악한 대우를 받던 노동자 대군은
더 이상 존재하지 않으며,
그들의 긴밀한 부두가 공동체는
이제 기억 속에만 남아 있다.","The armies of ill-paid, ill-treated workers
who once made their livings
loading and unloading ships in every port
are no more,
their tight-knit waterfront communities
now just memories."
"뉴욕과 리버풀처럼
수세기 동안 해상 무역의 중심지였던 도시들은
컨테이너 무역에 적합하지 않거나
단순히 필요 없어지면서,
놀라운 속도로 부두가 쇠락하는 것을 목격했고,
공급업체와 고객 가까이에 있기 위해
높은 비용과 낡은 도심 공장을 견뎌 왔던 제조업체들은
오래전에 떠났다.","Cities that had been centers of maritime commerce for centuries,
such as New York and Liverpool,
saw their waterfronts decline with startling speed,
unsuited to the container trade or simply unneeded,
and the manufacturers
that endured high costs and antiquated urban plants
in order to be near their suppliers and their customers
have long since moved away."
"한 세기에 걸친 전통을 가진
유서 깊은 선박 회사들은
컨테이너 해운에 적응하는 데 드는
막대한 비용에 짓눌렸다.","Venerable ship lines
with century-old pedigrees
were crushed by the enormous cost
of adapting to container shipping."
"세계를 보기 위해 바다로 나갔던 상선 선원들은,
이국적인 항구에서의 전통적인 며칠간의 상륙 휴가가
컨테이너를 위한 외진 주차장에서의 몇 시간으로 대체되었으며,
그들의 배는
고속 크레인이 거대한 금속 상자를 내리고 싣는 작업을 끝내는 순간
닻을 올릴 준비가 되어 있었다.","Merchant mariners,
who had shipped out to see the world,
had their traditional days-long shore leave in exotic harbors
replaced by a few hours ashore
at a remote parking lot for containers,
their vessel ready to weigh anchor
the instant the high-speed cranes finish
putting huge metal boxes off and on the ship."
"컨테이너가 구경제를 파괴하는 것을 도운
바로 그 시점에,
컨테이너는 새로운 경제를 건설하는 것을 도왔다.","Even as it helped destroy the old economy,
the container helped build a new one."
"부산과 시애틀 같은 한적한 항구들이
세계 항구의 최전선으로 올라섰고,
영국의 펠릭스토와 말레이시아의 탄중 펠레파스처럼
이전에는 항구가 없던 곳에
거대한 새 항구들이 건설되었다.","Sleepy harbors such as Busan and Seattle
moved into the front ranks of the world's ports,
and massive new ports were built
in places like Felixstowe, in England,
and Tanjung Pelepas, in Malaysia,
where none had been before."
"대도시 중심지에서 먼 소도시들은,
저렴한 운송을 누리기 위해
항구 근처에 있어야 할 필요에서 해방된 공장들을
유치하기 위해
자신들의 값싼 토지와 낮은 임금을 활용할 수 있었다.","Small towns, distant from the great population centers,
could take advantage of their cheap land and low wages
to entice factories
freed from the need to be near a port
to enjoy cheap transportation."
"수천 명의 노동자 대군이
제품을 처음부터 끝까지 제조하던
광활한 산업 단지들은,
점점 길어지는 공급망 속에서
부품과 반제품을 서로에게 배송하는
더 작고 더 전문화된 공장들에게
자리를 내주었다.","Sprawling industrial complexes
where armies of thousands manufactured products from start to finish
gave way to smaller, more specialized plants
that shipped components and half-finished goods to one another
in ever lengthening supply chains."
"경제 발전의 사다리를 오르기 위해
필사적이던 가난한 나라들은,
멀리 떨어진 부유한 나라들의 공급자가 되는 것을
현실적으로 꿈꿀 수 있었다.","Poor countries,
desperate to climb the rungs of the ladder of economic development,
could realistically dream of becoming suppliers
to wealthy countries far away."
"로스앤젤레스와 홍콩 같은 곳에서
거대한 산업 단지들이 우후죽순으로 생겨났는데,
오직 원자재를 들여오고 완제품을 내보내는 비용이
돌처럼 떨어졌기 때문이었다.","Huge industrial complexes mushroomed
in places like Los Angeles and Hong Kong,
only because the cost of bringing raw materials in
and sending finished goods out
had dropped like a stone."
"이 새로운 경제 지리학은,
야망이 순전히 국내에 머물러 있던 기업들이
국제적인 회사가 될 수 있게 해주었으며,
자사 제품을 근처에서 파는 것과 거의 마찬가지로 수월하게
수출할 수 있게 해주었다.","This new economic geography
allowed firms whose ambitions had been purely domestic
to become international companies,
exporting their products
almost as effortlessly as selling them nearby."
"하지만 그렇게 할 경우,
그들은 곧 발견했다
더 저렴한 해운이
태국이나 이탈리아의 제조업체에도
똑같이 혜택을 준다는 것을.","If they did, though,
they soon discovered
that cheaper shipping benefited manufacturers
in Thailand or Italy just as much."
"국제적으로 진출할 의사가 없었던,
오직 지역 고객만을 섬기려 했던 이들은
선택의 여지가 없다는 것을 알게 되었다:
좋든 싫든, 글로벌 시장이 그들에게 다가오고 있었기 때문에
그들은 세계적으로 경쟁하고 있었다.","Those who had no wish to go international,
who sought only to serve their local clientele,
learned that they had no choice:
like it or not,
they were competing globally
because the global market was coming to them."
"운송 비용은 더 이상
고객과의 물리적 근접성이 큰 장점이었던
고비용 생산자들에게 보호막을 제공하지 못했다;
관세와 시간 지연이 있더라도,
말레이시아의 공장들은
헤럴드 스퀘어의 메이시스 백화점에
블라우스를 납품할 수 있었다
뉴욕 의류 지구의 인근 다락방 블라우스 제조업체들보다
더 저렴하게.","Shipping costs no longer offered shelter
to high-cost producers
whose great advantage was physical proximity to their customers;
even with customs duties and time delays,
factories in Malaysia could deliver blouses
to Macy's in Herald Square
more cheaply than could blouse manufacturers
in the nearby lofts of New York's garment district."
"다국적 제조업체
—여러 나라에 공장을 둔 회사들—는
스스로를 국제적 제조업체로 변모시켰으며,
한때 고립되어 있던 공장들을 네트워크로 통합하여
특정 품목을 만들 가장 저렴한 장소를 선택할 수 있으면서도,
비용이나 환율이 요구하는 대로
생산을 한 곳에서 다른 곳으로 이전할 수 있게 했다.","Multinational manufacturers
—companies with plants in different countries—
transformed themselves into international manufacturers,
integrating once isolated factories into networks
so that they could choose the cheapest location
in which to make a particular item,
yet still shift production from one place to another
as costs or exchange rates might dictate."
"1956년에,
세계는 지역적으로 판매하는 소규모 제조업체들로 가득했다;
20세기가 끝날 무렵,
어떤 종류의 상품이든
순수하게 지역적인 시장은
극히 드물었다.","In 1956,
the world was full of small manufacturers selling locally;
by the end of the twentieth century,
purely local markets for goods of any sort
were few and far between."
"물론 노동자들에게
이 모든 것은 축복이자 저주였다.","For workers, of course,
this has all been a mixed blessing."
"소비자로서,
그들은 무한히 더 많은 선택지를 누린다
컨테이너가 촉진한 세계 무역 덕분에.","As consumers,
they enjoy infinitely more choices
thanks to the global trade the container has stimulated."
"한 정밀한 연구에 따르면,
미국은 2002년에
1972년보다 네 배나 많은 종류의 상품을 수입했으며,
이는 소비자 편익을 창출했다
—공식 통계에 잡히지 않는—
전체 경제의 거의 3퍼센트에 해당하는.","By one careful study,
the United States imported four times as many varieties of goods
in 2002 as in 1972,
generating a consumer benefit
—not counted in official statistics—
equal to nearly 3 percent of the entire economy."
"무역 증가와 함께 찾아온 경쟁은
새로운 제품들을 놀라운 속도로 확산시켰고,
평균적인 가구들이 참여할 수 있도록
가격을 억제했다.","The competition that came with increased trade
has diffused new products with remarkable speed
and has held down prices
so that average households can partake."
"저렴한 수입 소비재의 즉각적인 가용성은
전 세계의 생활 수준을 끌어올렸다.","The ready availability of inexpensive imported consumer goods
has boosted living standards around the world."
"반면에 임금 소득자로서,
노동자들에게는
양가감정을 가질 충분한 이유가 있다.","As wage earners, on the other hand,
workers have every reason
to be ambivalent."
"제2차 세계대전 이후 수십 년간,
전시의 파괴는 막대한 수요를 창출한 반면,
낮은 수준의 국제 무역은
경쟁의 힘을 통제 아래 두었다.","In the decades after World War II,
wartime devastation created vast demand
while low levels of international trade
kept competitive forces under control."
"이 예외적인 환경에서,
북미, 서유럽, 그리고 일본의 노동자들과 노동조합들은
임금과 복리후생의 거의 끊임없는 개선을 협상할 수 있었고,
한편 정부 프로그램들은
점점 더 강력한 안전망을 제공했다.","In this exceptional environment,
workers and trade unions in North America, Western Europe, and Japan
were able to negotiate
nearly continuous improvements in wages and benefits,
while government programs
provided ever stronger safety nets."
"근무 주는 짧아졌고,
장애 수당은 더 후해졌으며,
60세 또는 62세의 은퇴가 표준이 되었다.","The workweek grew shorter,
disability pay was made more generous,
and retirement at sixty or sixty-two
became the norm."
"컨테이너는
그 전례 없는 진보에 종지부를 찍는 데
기여했다.","The container helped bring an end
to that unprecedented advance."
"낮은 운송 비용은
자본을 훨씬 더 이동 가능하게 만드는 데 도움을 주었으며,
그들의 훨씬 덜 이동 가능한 노동자들에 대한
고용주들의 교섭력을 높였다.","Low shipping costs helped make capital
even more mobile,
increasing the bargaining power of employers
against their far less mobile workers."
"이 고도로 통합된 세계 경제에서,
선전의 노동자들의 임금은
사우스캐롤라이나의 임금에 한계를 설정하며,
프랑스 정부가 임금 삭감 없는 근무 주 단축을 명령했을 때,
거의 마찰 없는, 거의 비용이 들지 않는 해운이
제조업체들이 해외로 이전함으로써
더 높은 비용을 회피하는 것을 쉽게 만든다는 것을
발견했다.","In this highly integrated world economy,
the pay of workers in Shenzhen
sets limits on wages in South Carolina,
and when the French government ordered
a shorter workweek with no cut in pay,
it discovered that nearly frictionless, nearly costless shipping
made it easy for manufacturers
to avoid the higher cost by moving abroad."
"현대의 컨테이너 항구는
그 규모가 상상력의 한계를 시험하는
공장이다.","A modern containerport is a factory
whose scale strains the limits of imagination."
"각 선석에는
—세계 최대의 항구들은 수십 개를 보유하고 있다—
최대 길이 1,400피트, 폭 194피트에 달하는
거대한 원양 선박이 정박해 있으며,
오직 금속 컨테이너만을 싣고 있다.","At each berth
—the world's biggest ports have dozens—
rides a mammoth oceangoing vessel,
up to 1,400 feet long and 194 feet across,
carrying nothing but metal containers."
"갑판은
빨간색, 파란색, 초록색, 은색의 컨테이너가
줄줄이 빼곡히 들어차 있으며,
가로로 15개에서 20개씩,
높이로 8개에서 10개씩 쌓여 있다.","The deck is crowded with row after row of them,
red and blue and green and silver,
stacked 15 or 20 abreast
and 8 or 10 high."
"갑판 아래에는
화물칸에 6개에서 8개 깊이로 쌓인
컨테이너가 더 있다.","Beneath the deck
are yet more containers,
stacked 6 or 8 deep in the holds."
