"Question","Answer"
"이 영상들은
인터넷 곳곳에 퍼져 있다.","These videos
are all over the internet."
"이것이 3만 7천 달러로 살 수 있는 것이다
중국에서
그리고 장담하건대
당신은 준비되어 있지 않다.","This is what $37,000 gets you
in China
and I promise
you are not ready."
"유튜브, 인스타그램, 틱톡에서
미국 자동차 인플루언서들이
떠벌리며 홍보하고 있다
중국 자동차 브랜드들을.","On YouTube, Instagram and TikTok,
American car influencers
are hawking
Chinese car brands."
"만약 당신이 중국의 부유한 엄마라면,
아마도 이 차를 몰고 있을 것이다.","If you're a rich mom in China,
you're probably driving this."
"이것이 바로
양왕 U8이다.","This is
the YangWang U8."
"그들은 자랑하고 있다
럭셔리 기능들을.","They're touting
luxury features."
"모든 것이
당신을 마사지해 준다.","Everything
massages you."
"최첨단 기술이다.","State of the art tech."
"나는 깜짝 놀랐다.","I'm astonished."
"그리고 가장 중요한 것은,
낮은 가격이다.","And most importantly,
low prices."
"이 모든 것이
1만 5천 달러에.","All of this
for $15,000."
"그러나 인플레이션에 지친 미국인들은
이 영상들을 보고 있는
그 차들을 수입할 수 없다.","But inflation-weary Americans
watching these videos
can't import the cars."
"잠시 거슬러 올라가 보자.","Let's go back a bit."
"수십 년 동안,
전 세계 자동차 산업은
사실상 지배되어 왔다
기본적으로 미국, 유럽, 일본, 한국에 의해.","For decades,
the global auto industry
was really ruled by
basically the US, Europe, Japan and Korea."
"그러다 중국이 결심했다
자동차 사업에 뛰어들기로.","Then China decided
to get into the car business."
"중국 정부는 강제했다
서구 자동차 제조사 또는 비중국 자동차 제조사들에게
합작 투자를 설립하도록
중국 국유 기업들과.","The Chinese government forced
Western automakers or non-Chinese automakers
to form joint ventures
with state-owned Chinese companies."
"처음에는,
그들은 잘하지 못했다
왜냐하면 아직 신참이었기 때문이다.","At first,
they weren't very good at it
because they were still new."
