"Question","Answer"
"선진국 대부분에서
권력은 수세기 동안
거의 전적으로 남성에 의해 유지되어 왔다.","In most of the developed world,
power has been held almost
exclusively by men for centuries."
"남성 지배적인 (가부장적) 사회가
존재하는 유일한 것은 아니다,
하지만.","Male-dominated (patriarchal)
societies aren't the only ones that
exist, however."
"파푸아뉴기니의 나고비시족은
여성을 중심으로 사회를 조직한다.","The Nagovisi of Papua New Guinea
organize their society around women."
"귀중한 가보와 토지는
어머니에서 딸로 전해지며,
아버지에서 아들이 아니다.","Valuable heirlooms and land
are passed from mothers to daughters,
not fathers to sons."
"남녀가 결혼하면,
남자는 보통 아내의 공동체에 가서 산다.","When a man and woman marry,
the man usually goes to live in his wife's community."
"나고비시 사회에서
여성 권력의 가장 의미 있는 상징은,
그러나, 정원에 대한 통제권이다.","The most significant sign of female power
in Nagovisi society, however,
is their control of the gardens."
"식량을 생산하는 것은
나고비시족에게 부의 기반이므로,
정원은 사회의 모든 부를 상징한다.","Producing food is
the basis of wealth for the Nagovisi,
so gardens symbolize all the wealth of the society."
"정원 가꾸기는 다른 방식으로도 상징적이다—
나고비시 부부는 함께 정원을 가꾸어
그들의 결합을 보여준다.","Gardening is symbolic in other ways—
Nagovisi couples garden together
to demonstrate their union."
"아내의 정원에서 나온 음식 먹기를 거부하는 것은
이혼의 징표가 될 것이다.","Refusing to eat from a wife's garden
would be a sign of a divorce."
"중국 윈난성과 쓰촨성의 모수오족도
여성이 중심인 사회에서 산다.","The Mosuo people of Yunnan and Sichuan, China,
also live in a society in which females are central."
"모수오 여성들은
가정의 수장이다.","Mosuo women are
the heads of their households."
"여성들은
자녀, 할머니, 이모, 삼촌, 형제들과 함께
집에서 산다.","Women live in houses
with their children, grandmothers, aunts,
uncles, and brothers."
"그러나 남편은
가정에 합류하지 않는다.","Husbands, however,
do not join the household."
"결혼은 애정의 유대이며,
성적 파트너가 서로를 방문하지만
집을 공유하지는 않는다.","Marriages are bonds of affection,
in which sexual partners visit each other
but do not share a home."
"여성이 돈, 가사, 직업을 관리한다.","Women control money, household affairs, and jobs."
"반면 남성은
가축 거래와 도축을 담당한다.","Men, on the other hand,
handle livestock trade and slaughter."
"그들은 또한
여성보다 더 많은 정치적 권력을 행사한다.","They also wield
more political power than women do."
"인도네시아 서부 수마트라에서,
미낭카바우 여성들은
모든 토지와 재산을 소유하고 분배한다.","In West Sumatra, Indonesia,
Minangkabau women
own and distribute all land and property."
"집은 여성을 위한 것이고;
남자아이들은 일곱 살이 되면
어머니의 집을 떠나 학교에 간다.","Houses are for women;
boys leave their mother's house
by the age of seven to begin school."
"교육은 극도로 중요하다
미낭카바우족에게.","Education is extremely important
to the Minangkabau."
"남자들은 아내의 가정에 들어가며
이혼이 발생할 경우 떠난다.","Men enter their wives' households
and leave in the event of a divorce."
"미낭카바우족은 당신에게 말할 것이다
여성이 자신들의 문화를 지배하지 않는다고.
대신, 그들의 사회는 합의에 의해 운영된다.","The Minangkabau would tell you
that women do not rule their culture.
Instead, their society is governed by consensus."
"여기에 언급된 다른 모계사회들도
아마 마찬가지로 동의할 것이다
여성이 지배하지 않는다고.","The other matriarchies mentioned here
would probably also agree
that women don't rule."
"그들은 단지
재산이나 노예처럼 취급받지 않을 뿐이다.","They just aren't treated
like property or slaves."
"누가 우두머리인지에 대한 집착을 넘어서는 것이
다른 문화들도
더 평등하게 다스리는 데 도움이 될 수 있다.","Getting past the obsession with who the boss is
may help other cultures
rule more equally, too."
"1. 이 기사의 주요 주제는 무엇인가?
(a) 모계사회의 이점
(b) 남자를 지배하는 여자
(c) 오늘날의 모계사회들
(d) 모계사회가 오늘날의 문화에 어떻게 이어졌는가","1. What is the main topic of the article?
(a) Benefits of a matriarchal society.
(b) Women ruling men.
(c) Today's matriarchal societies.
(d) How matriarchies led to today's cultures."
"2. 이 기사는 ____에 관한 것이다.
(a) 사회 구조
(b) 여성
(c) 갈등
(d) 장소","2. This article is about ____
(a) social structures
(b) women
(c) conflict
(d) places"
"3. 다음 중 사실이 아닌 것은?
(a) 모수오 남자들은 가축을 관리한다.
(b) 미낭카바우 사회는 합의에 의해 운영된다.
(c) 모수오 남자들은 아내의 가정에 와서 산다.
(d) 나고비시 여성들은 정원을 관리한다.","3. Which of the following statements is NOT true?
(a) Mosuo men take charge of livestock.
(b) Minangkabau society is governed by consensus.
(c) Mosuo men come to live in their wives' households.
(d) Nagovisi women control the gardens."
"4. 위 세 사회의 아이들은 ____
(a) 아마 어머니의 성을 따른다
(b) 아마 일정 나이가 될 때까지 아버지와 산다
(c) 아마 불행하다
(d) 아마 정원에서 일한다","4. Children in the three societies above ____
(a) probably take their mothers' family names
(b) probably live with their fathers until they reach a certain age
(c) are probably unhappy
(d) probably work in gardens"
"5. 두 번째 단락은 귀중한 가보(heirloom)를 언급한다.
가보란 ____이다.
(a) 여러 세대에 걸쳐 가족에게 속하는 물건
(b) 오래된 가족 재산
(c) 가족의 땅에서 일하기 위한 도구
(d) 종교적 물건이나 의식에 사용되는 물건","5. The second paragraph mentions valuable heirlooms.
An heirloom is ____
(a) an object that belongs to a family for generations
(b) old family money
(c) tools meant for working on a family's land
(d) a religious object or an object used in rituals"
"6. 2~4번째 단락은 ____
(a) 개인적 이야기를 들려준다
(b) 서로 대조하는 데 사용된다
(c) 인과관계를 보여준다
(d) 구체적 사례를 제시한다","6. Paragraphs two through four ____
(a) tell personal stories
(b) are used to contrast each other
(c) show cause and effect
(d) present specific cases"
