"Question","Answer"
"미안하지만,
나는 왕이 되고 싶지 않습니다.","I'm sorry,
but I don't want to be a king."
"나는 누구도
지배하고 싶지 않습니다.","I don't want
to rule anyone."
"나는 모든 사람을
돕고 싶습니다.","I should like
to help everyone."
"우리 모두는
서로를 돕고 싶어 합니다.","We all want
to help one another."
"인간은
원래 그런 존재입니다.","Human beings
are like that."
"우리는 서로의 행복으로
살아가고 싶습니다 —
서로의 불행으로가 아니라.","We want to live
by each other's happiness —
not by each other's misery."
"우리는 서로를
미워하고 싶지 않습니다.","We don't want
to hate one another."
"이 세상에는
모든 사람을 위한 자리가 있습니다.","In this world
there is room for everyone."
"그리고 대지는
모든 사람에게 충분히 베풀 수 있습니다.","And the earth
can provide for everyone."
"삶의 방식은
자유롭고 아름다울 수 있지만,
우리는 그 길을 잃어버렸습니다.","The way of life
can be free and beautiful,
but we have lost the way."
"탐욕이 우리의 영혼을 오염시켰고,
세상을 증오로 물들였으며,
우리를 비참함 속으로 몰아넣었습니다.","Greed has poisoned our souls,
has infected the world with hate,
has sent us into misery."
"우리는 너무 많이 생각하고
너무 적게 느낍니다.","We think too much
and feel too little."
"우리에게는 인간애가 필요하고,
친절함이 필요하고,
온유함이 필요합니다.","We need humanity,
kindness,
and gentleness."
