"Question","Answer"
"이 영상들은 인터넷 곳곳에 퍼져 있다.","These videos are all over the internet."
"이것이 3만 7천 달러로 살 수 있는 것이다 중국에서","This is what $37,000 gets you in China"
"그리고 장담하건대","and I promise"
"당신은 준비되어 있지 않다.","you are not ready."
"유튜브, 인스타그램, 틱톡에서","On YouTube, Instagram and TikTok,"
"미국 자동차 인플루언서들이 홍보하고 있다","American car influencers are hawking"
"중국 자동차 브랜드들을.","Chinese car brands."
"만약 당신이 중국의 부유한 엄마라면,","If you're a rich mom in China,"
"아마도 이 차를 몰고 있을 것이다.","you're probably driving this."
"이것이 바로 양왕 U8이다.","This is the YangWang U8."
"그들은 럭셔리 기능들을 자랑하고 있다.","They're touting luxury features."
"모든 것이 당신을 마사지해 준다.","Everything massages you."
"최첨단 기술이다.","State of the art tech."
"나는 깜짝 놀랐다.","I'm astonished."
"그리고 가장 중요한 것은, 낮은 가격이다.","And most importantly, low prices."
"이 모든 것이 1만 5천 달러에.","All of this for $15,000."
"그러나 인플레이션에 지친 미국인들은","But inflation-weary Americans"
"이 영상들을 보고 있는","watching these videos"
"그 차들을 수입할 수 없다.","can't import the cars."
"잠시 거슬러 올라가 보자.","Let's go back a bit."
"수십 년 동안, 전 세계 자동차 산업은","For decades, the global auto industry"
"사실상 지배되어 왔다","was really ruled by"
"기본적으로 미국, 유럽, 일본, 한국에 의해.","basically the US, Europe, Japan and Korea."
"그러다 중국이 결심했다","Then China decided"
"자동차 사업에 뛰어들기로.","to get into the car business."
"중국 정부는 강제했다","The Chinese government forced"
"서구 또는 비중국 자동차 제조사들에게","Western automakers or non-Chinese automakers"
"합작 투자를 설립하도록","to form joint ventures"
"중국 국유 기업들과.","with state-owned Chinese companies."
"처음에는, 그들은 그것을 잘하지 못했다","At first, they weren't very good at it"
"왜냐하면 아직 신참이었기 때문이다.","because they were still new."
"어느 시점에,","At some point,"
"중국 자동차 제조사들은 깨달았다","Chinese automakers realized"
"그들을 결코 이길 수 없다는 것을","they were never going to beat them"
"가솔린 자동차에서는,","at gas cars,"
"그래서 그들은 결정했다","so they decided"
"다른 게임을 하기로,","to play a different game,"
"그리고 중국 정부는 만들었다","and the Chinese government created"
"국가적 목표를","a national goal"
"전기차 기술을 개발하기 위한.","to develop electric vehicle technology."
"그리고 많은 중국 기업가들이","And a lot of Chinese entrepreneurs"
"그 부름에 응답했다 BYD처럼,","answered that call like BYD,"
"이 회사는 배터리 회사로 시작했고","which started out as a battery company"
"그러고 나서 자동차 산업에 진출했다.","and then got into automotive."
"또한 지리(Geely)도 있다,","You also have Geely,"
"창업자 리수푸가","where the founder, Li Shufu,"
"냉장고를 위한 부품을 만드는 일을 시작한","started making parts for refrigerators."
"샤오미는, 휴대전화 회사인데,","Xiaomi, they're a cell phone company,"
"이제 자동차 산업에 진출했다","that has now gotten into cars"
"왜냐하면 자동차가 되어가고 있기 때문이다","because cars are becoming"
"정말로 소프트웨어 중심으로.","really software driven."
"오늘 우리는 본사에 있다","Today we're at the headquarters"
"케어소프트 글로벌의","of Caresoft Global"
"우리의 새 기술 센터에서.","at our new technical center."
"우리는 많은 차량을 보유하고 있다","We have many vehicles"
"우리가 분해하고","that we have disassembled"
"가치 분석을 수행한.","and done value analysis."
"우리는 벤치마킹 작업을 수행했다.","We've done benchmarking work on."
"여기에 테슬라 모델 Y가 있다","Here we have a Tesla Model Y"
"그리고 그것은 보여준다","and it demonstrates"
"그들의 메가 캐스팅 사용을.","their usage of mega castings."
"그렇게 함으로써,","In doing that,"
"그들은 무게를 줄일 수 있다,","they're able to reduce the mass,"
"부품 수를 줄이고,","reduce the number of parts,"
"노동력을 줄이며","reduce the labor"
"그리고 걸리는 시간을","and the time it takes"
"차량 한 대를 만드는 데.","to build a vehicle."
"매우 혁신적인 접근 방식이다.","So very innovative approach."
"이제 우리가 보는 것은 중국에서 온","Now we see from China"
"샤오펑 G6이다.","the XPENG G6."
"그들은 내놓았다","They've come forward"
"매우 멋진 차량을.","with a very nice vehicle."
"그리고 자세히 보면 발견하게 될 것이다","And if you look close you'll find"
"메가 캐스팅이 있다는 것을","there is a mega casting"
"후방에.","in the rear."
"메가 캐스팅이 있다","There is a mega casting"
"전방에.","in the front."
"바닥이 없다","There is no floor"
"차체에는.","in the body."
"그것은 매우, 매우 유사하다.","It's very, very similar."
"여기서 그것이 모방되었다.","It's been imitated here."
"그러나, 자세히 보고 연구해 보면,","However, if you look closely and study it,"
"깨닫게 된다 그것들이 개선되었다는 것을.","you realize they've been improved upon."
"그리고 우리는 그것을 본다","And we see that"
"중국 자동차 산업 전반에 걸쳐,","across the Chinese auto industry,"
"브랜드마다.","brand by brand."
"이 추진력은 모방하고, 개선하고, 확장하려는","This drive to imitate, to improve, to increase"
"그리고 그것을 매우, 매우 빠르게 하려는.","and to do it very, very quickly."
"그리고 우리는 상기하게 된다","And we're reminded"
"큰 것이 아니라","it's not the big"
"작은 것이라는,","that it's the small,"
"빠른 것이","it's the fast"
"느린 것을 잡아먹는다는.","that eat the slow."
"그러므로 당신이 속도를 볼 때","So when you look at the speed"
"중국 자동차 산업의,","of the Chinese auto industry,"
"나는 생각한다 전통적인 OEM들이,","I think the traditional OEMs,"
"북미에서 온 업체들,","those from North America,"
"유럽에서 온 업체들,","those from Europe,"
"그들은 알고 있고, 이해하고 있다.","they get it, they understand."
