"Question","Answer"
"컨테이너가 타당하다고 할 때,","Given that containers made sense,"
"그것들은 얼마나 커야 할까?","how big should they be?"
"웰던의 분석은 지적했다","Weldon's analysis pointed out"
"크기가 작을수록,","that the smaller the size,"
"화물의 수가 더 많아진다는 것을","the greater the number of loads"
"컨테이너를 통째로 채워","that would fill entire containers"
"발송인에게서 수취인에게 곧바로 가는,","going directly from shipper to recipient,"
"재적재 없이.","with no reloading."
"반면에,","On the other hand,"
"10피트 컨테이너 두 개는","two 10-foot containers"
"배에 싣는 데 두 배의 시간이 걸릴 것이다","would take twice as long to load on a ship"
"20피트 상자 하나에 비해,","as one 20-foot box,"
"회사의 투자를 제대로 활용하지 못하면서","making poor use of the company's investment"
"크레인과 배에 대한.","in cranes and ships."
"수천 건의 맷슨 화물을 컴퓨터로 분석한 후—","After analyzing thousands of Matson shipments by computer—"
"1956년에 그 작업이 요구했던","a task that in 1956 required"
"수천 장의 펀치 카드를 집어넣는 것을—","feeding in thousands of punch cards—"
"웰던의 연구원들은 결론지었다","Weldon's researchers concluded"
"20피트에서 25피트의 밴이","that vans of 20 to 25 feet"
"하와이 항로에서 가장 효율적일 것이라고:","would be most efficient in the Hawaii trade:"
"더 큰 컨테이너는 너무 많은 빈 공간을 안고 운항할 것이고,","larger containers would travel with too much empty space,"
"반면 20피트보다 짧은 컨테이너는","while containers shorter than 20 feet"
"너무 많은 적재 시간을 필요로 할 것이다.","would require too much loading time."
"그들은 권고했다","They recommended"
"맷슨이 시작할 것을","that Matson start out"
"컨테이너를 갑판 위에 실어 나르는 것으로,","by carrying containers on deck,"
"팬-애틀랜틱이 그랬듯이,","as Pan-Atlantic had,"
"선창에는 기존의 브레이크벌크 화물을 실은 채로.","with conventional breakbulk cargo in the holds."
"자사의 C-3 화물선 15척 중 6척을 개조하여","By converting six of its fifteen C-3 cargo ships"
"갑판에 컨테이너를 싣도록,","to carry containers on deck,"
"맷슨은 제공할 수 있을 것이었다","Matson would be able to offer"
"주간 컨테이너 서비스를","weekly container service"
"호놀룰루와 로스앤젤레스, 샌프란시스코 양쪽 사이에.","between Honolulu and both Los Angeles and San Francisco."
"웰던은 알아냈다","Weldon found"
"이 방식이 수익성이 있으리라는 것을","that this arrangement would be profitable"
"컨테이너 사업이 작게 유지되더라도.","even if the container business stayed small."
"사업이 성장하면,","If the business grew,"
"회사는 추가로 배들을 개조할 수 있었다","the company could convert additional ships"
"컨테이너만 나르도록.","to carry only containers."
"컨테이너화는, 그는 결론지었다,","Containerization, he concluded,"
"""운 좋은 상황을 제시하는 것으로 보인다","""would appear to present the fortunate circumstance"
"유망한 초기 행동 방침이라는,","of a promising initial course of action"
"원하는 만큼 멀리 나아갈 선택지를 주면서","offering the option of going as far as desired"
"그리고 어느 지점에서든 멈출 수 있는","and stopping at any point"
"신중한 계획이 지시하는.""","that prudent planning dictates."""
"맷슨 경영진은 받아들였다","Matson management accepted"
"웰던의 권고를","Weldon's recommendations"
"1957년 초에.","in early 1957."
"레슬리 할랜더가,","Leslie Harlander,"
"갓 자격을 딴 조선 기사인,","a newly minted naval architect,"
"엔지니어링을 책임지게 되었다.","was put in charge of the engineering."
"할랜더는 지시받았다","Harlander was told"
"직원을 채용하고","to hire a staff"
"상세 계획을 시작하라고","and begin detailed planning"
"컨테이너 운영의 모든 측면에 대한.","for every aspect of a container operation."
"그는 명확한 지침을 받았다","He was given clear guidance"
"돈에 신중하라는.","to be careful about money."
"모든 선택은 정당화되어야 했다","Every choice had to be justified"
"그것이 제공하는지에 근거해","based on whether it offered"
"더 높은 투자수익률을","a higher return on investment"
"대안들보다.","than the alternatives."
"할랜더와 그의 형제 돈은,","Harlander and his brother Don,"
"크레인을 전문으로 하는 엔지니어인,","an engineer who specialized in cranes,"
"크레인 요구사항을 정리하기 시작했다","began to lay out their requirements for cranes"
"1957년 7월에.","in July 1957."
"10월에,","In October,"
"그들은 휴스턴으로 갔다","they went to Houston"
"첫 입항을 지켜보기 위해","to observe the first arrival"
"팬-애틀랜틱이 새로 개조한 게이트웨이 시티호의.","of Pan-Atlantic's newly rebuilt Gateway City."
"게이트웨이 시티호는 C-2 선박이었다,","The Gateway City was a C-2 ship,"
"약간 더 작고 느린","slightly smaller and slower"
"2차 세계대전 시기의 C-3들보다","than the World War II–vintage C-3s"
"맷슨 선단의,","in Matson's fleet,"
"그리고 그것은 장착하고 있었다","and it was equipped with"
"시랜드의 새로운 선상 크레인 두 대를.","Sea-Land's two novel shipboard cranes."
"두 크레인이 함께 작동하니,","With both cranes working,"
"게이트웨이 시티호의 하역 회전 시간은","the Gateway City's turnaround time"
"길지 않았다","was no longer than"
"훨씬 더 작은 아이디얼-X호의 그것보다.","that of the much smaller Ideal-X."
"하지만 할랜더 형제가 직접 봤듯이,","As the Harlanders saw firsthand, though,"
"선상 크레인에는 단점이 있었다.","the shipboard cranes had shortcomings."
"팬-애틀랜틱의 크레인 기사 두 명은","Pan-Atlantic's two crane drivers"
"각자 갑판 높이 앉아 있었다","each sat high above the deck"
"두 개의 색깔 신호등을 마주한 채.","facing two colored lights."
"초록 불은 한 기사에게 알렸다","A green light told one driver"
"크레인 트롤리를 옮겨도 된다고","that he could move the crane trolley"
"배 옆으로","over the side of the ship"
"컨테이너를 부두에 내려놓기 위해,","to deposit a container on the dock,"
"반면 빨간 불은 다른 기사에게 기다리라고 했다.","while a red light told the other driver to wait."
"만약 두 크레인이 실수로 매달면","If both cranes accidentally dangled"
"4만 파운드짜리 컨테이너를","forty-thousand-pound containers"
"동시에 배 옆으로,","over the side at the same time,"
"그 불균형한 무게가 배를 전복시킬 수 있었다.","the unbalanced weight could capsize the vessel."
"맷슨은,","Matson,"
"소수의 큰 항구만 서비스할 계획이라","with plans to serve only a small number of large ports"
"많은 작은 항구가 아니라,","rather than many small ones,"
"이 위험을 감수할 필요가 없었다.","had no need to put up with this risk."
"첫 번째 큰 결정은 쉬운 것이었다:","The first big decision was an easy one:"
"육상 크레인이 정답이었다.","land-based cranes were the way to go."
