"Question","Answer"
"이 과정은 반복되며
매 2분마다, 혹은 심지어 매 90초마다,
각 크레인은 시간당 30개에서 40개의 상자를 옮긴다
배에서 부두로.","The process is repeated
every two minutes, or even every ninety seconds,
each crane moving 30 or 40 boxes an hour
from ship to dock."
"배의 일부가 들어온 컨테이너를 비우면,
재적재가 시작되고,
부두의 활동은 더욱 광란적이 된다.","As parts of the ship are cleared of incoming containers,
reloading begins,
and dockside activity becomes even more frenzied."
"크레인이 들어온 컨테이너를 내려놓을 때마다
한 차량 위에,
다른 차량에서 나갈 컨테이너를 집어 올리며,
배를 동시에 비우고 채운다.","Each time the crane places an incoming container
on one vehicle,
it picks up an outbound container from another,
simultaneously emptying and filling the ship."
"야적장에서,
아스팔트로 포장된 1마일 길이의 부지에서,
들어오는 컨테이너는
스태킹 크레인 아래로 운반된다.","In the yard,
a mile-long strip paved with asphalt,
the incoming container is driven
beneath a stacking crane."
"스태커는 고무 타이어 바퀴를 갖추고 있다
50피트 간격으로,
트럭 차선 하나와
인접한 컨테이너 4열을 가로지를 만큼 넓다.","The stacker has rubber-tired wheels
50 feet apart,
wide enough to span a truck lane
and four adjacent stacks of containers."
"바퀴들은 금속 구조물로 연결되어 있다
70피트 상공에서,
기계 전체가 앞뒤로 이동할 수 있도록
6단으로 쌓인 컨테이너 열 위를.","The wheels are linked by a metal structure
70 feet in the air,
so that the entire machine can move back and forth
above the rows of containers stacked six high."
"크레인은 컨테이너를 잡고,
운반차에서 들어올려,
다른 컨테이너 더미 위를 가로질러
지정된 보관 위치로 옮긴다.","The crane engages the container,
lifts it from the transporter,
and moves it across the stacks of other containers
to its storage location."
"몇 시간 뒤,
이 과정은 역순으로 진행된다,
스태킹 크레인이 컨테이너를
장거리 트럭이 끄는 강철 섀시 위에 올려놓으면서.","A few hours later,
the process will be reversed,
as the stacking crane lifts the container
onto a steel chassis pulled by an over-the-road truck."
"트럭은 수백 마일 떨어진 목적지까지
화물을 운반하거나
근처 철도 야적장으로 끌고 간다,
그곳에는 컨테이너 전용 저상 화차가
적재를 기다리고 있다.","The truck may take the cargo
hundreds of miles to its destination
or may haul it to a nearby rail yard,
where low-slung cars specially designed for containers
await loading."
"옛 부두의 화려한 혼돈은
대형 컨테이너 터미널 어디에서도 찾아볼 수 없고,
커피 자루를 어깨에 메고 다니던
근육질 항만 노동자들도 보이지 않는다.","The colorful chaos of the old-time pier
is nowhere in evidence at a major container terminal,
the brawny longshoremen
carrying bags of coffee on their shoulders
nowhere to be seen."
"말론 브란도가 '워터프론트'에서 연기한
근육질 영웅 테리 말로이는
이곳에서 어울리지 못할 것이다.","Terry Malloy,
the muscular hero played by Marlon Brando
in On the Waterfront,
would not be at home."
"선박 서비스에 필요한
거의 모든 정교한 동작은
컴퓨터가 안무하듯 설계한다
배가 도착하기 훨씬 전에.","Almost every one of the intricate movements
required to service a vessel
is choreographed by a computer
long before the ship arrives."
"컴퓨터와
이를 사용하는 선박 계획자들이
컨테이너 하역 순서를 결정한다,
선박의 안정성을 해치지 않으면서
작업 속도를 높이기 위해.","Computers,
and the vessel planners who use them,
determine the order in which
the containers are to be discharged,
to speed the process without destabilizing the ship."
"컨테이너 크레인과
야적장 장비의 모든 동작은
사전에 프로그래밍된다.","The actions of the container cranes
and the equipment in the yard
all are programmed in advance."
"각 크레인을 조작하는 항만 노동자는
다음에 처리할 컨테이너를 알려주는
화면을 보며
높은 곳이 아닌 근처 건물의
창문 없는 방에 앉아
원격으로 크레인을 조종하고 있을 가능성이 높다.","The longshoreman who operates each crane
faces a screen telling him
which container is to be handled next
and may well be seated in a windowless room
in a nearby building,
driving the crane by remote control rather than high in the air."
"부두의 차량들에도
각 컨테이너를 어디로 옮겨야 하는지
지시하는 화면이 달려 있다.","The vehicles on the dock have screens
directing where each container
is to be moved."
"다만 터미널이 항만 노동자를 아예 없애고,
무인 운반차로 선측에서 컨테이너를 수거하고
중앙 제어 스태커 크레인으로
보관을 처리하는 경우도 있다.","Unless the terminal dispenses with longshoremen
by using driverless transporters
to pick up the containers at shipside
and centrally controlled stacker cranes
to handle container storage."
"컴퓨터는 결정했다
입항 컨테이너 ABLQ 998435를 픽업할 트럭을
오전 10시 45분에
터미널로 호출해야 한다고.","The computers have determined
that the truck picking up
incoming container ABLQ 998435
should be summoned to the terminal at 10:45 a.m."
