"Question","Answer"
"그 안에서
나는 겨울을 자세히 살펴보고 눈 속에서 봄을 찾는다","IN WHICH
I Have a Good Look at Winter and Find Spring in the Snow"
"크리스마스가 끝나자, 겨울은 본격적이 되었다.","With Christmas over, the winter became serious."
"눈은 더 깊어졌고, 바람은 불었고, 기온은 떨어졌다
공기가 딱딱 소리를 내고 말을 할 때까지.","The snows deepened, the wind blew, the temperatures dropped
until the air snapped and talked."
"인류가 그토록 멀리 느껴진 적은 없었다
1월, 2월, 그리고 3월의
그 춥고 고요한 달들에서처럼.","Never had humanity seemed so far away
as it did in those cold still months
of January, February, and March."
"나는 눈 덮인 바위산을 돌아다녔다,
새들의 언어를 들으며 낮에는
그리고 날씨의 소리를 들으며 밤에는.","I wandered the snowy crags,
listening to the language of the birds by day
and to the noises of the weather by night."
"바람은 울부짖었고, 눈은 사태를 일으켰고, 그리고 공기는 삐걱거렸다.","The wind howled, the snow avalanched, and the air creaked."
"나는 잠을 자고, 먹고, 갈대 피리를 불고, 그리고 프라이트풀에게 말을 걸었다.","I slept, ate, played my reed whistle, and talked to Frightful."
"편안하고, 따뜻하고, 그리고 겨울 야생의 일부가 되는 것은
잊을 수 없는 경험이다.","To be relaxed, warm, and part of the winter wilderness
is an unforgettable experience."
"나는 아주 좋은 컨디션이었다.","I was in excellent condition."
"감기도 없고, 콧물도 없고, 한 순간의 피로도 없었다.","Not a cold, not a sniffle, not a moment of fatigue."
"나는 그 느낌을 즐겼다
내가 먹고, 자고, 따뜻할 수 있다는,
그리고 산을 강타하는 폭풍들과
산을 마비시키는 영하의 기온을
이겨낼 수 있다는.","I enjoyed the feeling
that I could eat, sleep and be warm,
and outwit the storms that blasted the mountains
and the subzero temperatures
that numbed them."
"눈은 계속 내렸다.","It snowed on."
"나는 눈더미를 헤치고 나아갔고 길을 밟아 만들었다
결국 내게 떠오를 때까지
내가 눈신을 만들 모든 재료를 가지고 있다는 것이
더 쉬운 이동을 위해.","I plowed through drifts and stamped paths
until eventually it occurred to me
that I had all the materials to make snowshoes
for easier traveling."
"여기에 눈신 메모가 있다:","Here are the snowshoe notes:"
"나는 물푸레나무 어린 나무로 널빤지를 만들었다,
휠 수 있을 만큼 얇게 깎아서.","I made slats out of ash saplings,
whittling them thin enough to bow."
"나는 그것들을 물에 담가 더 쉽게 구부러지게 했고,
양쪽 끝을 함께 고리로 만들고,
가죽으로 감았다.","I soaked them in water to make them bend more easily,
looped the two ends together,
and wound them with hide."
"내 주머니칼로 나는 구멍을 뚫었다
고리 전체 둘레의 각 부분에.","With my penknife I made holes
in each part all around the loop."
"나는 사슴 가죽을 십자로 엮었다
고리들 사이로.","I strung deer hide crisscross
through the loops."
"나는 가죽 고리를 만들었다 발가락을 잡아줄
그리고 끈을 만들었다 신발을 묶어 고정할.","I made a loop of hide to hold my toe
and straps to tie the shoes on."
"내가 이 신발을 신고 처음 걸었을 때,
나는 발가락에 걸려 넘어졌다,
하지만 첫날이 끝날 무렵에는 나는 걸을 수 있었다
나무에서 협곡까지 절반의 시간에.","When I first walked in these shoes,
I tripped on my toes and fell,
but by the end of the first day I could walk
from the tree to the gorge in half the time."
"나는 날씨에 가까이 살았다.","I lived close to the weather."
"놀라운 일이다 얼마나 당신이 날씨를 관찰하게 되는지
당신이 그 안에서 살 때.","It is surprising how you watch it
when you live in it."
"구름 하나도 눈에 띄지 않게 지나가지 않았고,
바람 하나도 시험받지 않고 불지 않았다.","Not a cloud passed unnoticed,
not a wind blew untested."
"나는 폭풍의 기분을 알았다,
그것들이 어디서 왔는지,
그것들의 모양과 색깔을.","I knew the moods of the storms,
where they came from,
their shapes and colors."
"해가 비치면, 나는 프라이트풀을 초원으로 데려갔고
우리는 산을 미끄러져 내려갔다
내 자라등딱지 썰매를 타고.","When the sun shone, I took Frightful to the meadow
and we slid down the mountain
on my snapping-turtle-shell sled."
"그녀는 이것을 별로 좋아하지 않았다.","She didn't care much for this."
"바람이 바뀌고 공기에서 눈 냄새가 나면,
나는 내 나무 안에 머물곤 했다,
왜냐하면 나는 어느 날 오후 눈보라 속에서 길을 잃은 적이 있었고
바위 선반에 웅크려야 했기 때문이다
내가 어디로 가는지 볼 수 있을 때까지.","When the winds changed and the air smelled like snow,
I would stay in my tree,
because I had gotten lost in a blizzard one afternoon
and had had to hole up in a rock ledge
until I could see where I was going."
"그날 바람이 너무 강해서
나는 밀고 나아갈 수가 없었다,
그래서 나는 선반 아래로 기어들어갔다;
몇 시간 동안 나는 궁금했다
폭풍이 지나간 후 내가 빠져나올 수 있을지.","That day the winds were so strong
I could not push against them,
so I crawled under the ledge;
for hours I wondered
if I would be able to dig out when the storm blew on."
"다행히 나는 약 1피트의 눈만 밀고 나가면 됐다.","Fortunately I only had to push through about a foot of snow."
"하지만, 그 경험은 나에게 가르쳐 주었다
공기가 ""눈""이라고 말할 때 집에 있으라고.","However, that taught me
to stay home when the air said ""snow."""
"내가 폭풍 속에서 집에서 멀리 잡히는 것이
두려웠던 것은 아니다,
왜냐하면 나는 어디서든 음식과 쉼터를 찾고
불을 피울 수 있었으니까,
하지만 나는 내 솔송나무 집에
둥지에 앉은 새처럼 애착이 생겼다.","Not that I was afraid of being caught
far from home in a storm,
for I could find food and shelter
and make a fire anywhere,
but I had become as attached to my hemlock house
as a brooding bird to her nest."
"폭풍과 날씨 속에 갇히면,
나는 내 나무로 돌아가고 싶은 절박한 욕구가 있었다,
바론 위즐이 그의 굴로 돌아가듯,
그리고 사슴이 그들의 작은 숲으로 돌아가듯.","Caught out in the storms and weather,
I had an urgent desire to return to my tree,
even as The Baron Weasel returned to his den,
and the deer to their copse."
"우리 모두 야생에서 우리만의 작은 ""영역""이 있었다.","We all had our little ""patch"" in the wilderness."
"우리 모두 거기로 돌아가려고 싸웠다.","We all fought to return there."
"나는 보통 밤에 집에 왔다
근처 어린 나무에 둥지를 튼 동고비와 함께.","I usually came home at night
with the nuthatch that roosted in a nearby sapling."
"나는 내가 늦었다는 것을 알았다
내가 나무를 두드렸을 때 그가 나오면.","I knew I was late
if I tapped the tree and he came out."
"가끔 날씨가 얼어붙고 비참할 때,
나는 그의 소리를 들었다 나무 높은 곳에서
초원 가장자리 근처에서,
잡아당기고 잡아당기며 꼬리를 탁탁 치는,
그러면 나는 그가 일찍 잠자리로 날아가는 것을 보곤 했다.","Sometimes when the weather was icy and miserable,
I would hear him high in the tree
near the edge of the meadow,
yanking and yanking and flicking his tail,
and then I would see him wing to bed early."
"나는 그를 꽤 좋은 기압계라고 여겼다,
그리고 그가 일찍 나무로 들어가면,
나도 일찍 내 나무로 들어갔다.","I considered him a pretty good barometer,
and if he went to his tree early,
I went to mine early too."
"당신에게 신문이나 라디오가 없을 때
날씨 정보를 알려줄,
새와 동물을 관찰하라.","When you don't have a newspaper or radio
to give you weather bulletins,
watch the birds and animals."
"그들은 폭풍이 오고 있을 때를 알 수 있다.","They can tell when a storm is coming."
"나는 그 동고비를 ""바로미터""라고 불렀다,
그리고 그가 웅크리면, 나도 웅크렸고,
불을 켜고, 내 모닥불 옆에 앉아
나무를 깎거나 갈대 피리로 새 곡을 배웠다.","I called the nuthatch ""Barometer,""
and when he holed up, I holed up,
lit my light, and sat by my fire
whittling or learning new tunes on my reed whistle."
"나는 이제 정말로 겨울의 한복판에 있었고,
그 활동에 꽤 매료되었다.","I was now really into the teeth of winter,
and quite fascinated by its activity."
"""고요한 겨울 밤""이란 것은 없다.","""There is no such thing as a ""still winter night."""
"삐걱거리는 추위 속에서
많은 동물들이 돌아다니고 있을 뿐만 아니라,
나무들도 울부짖고 가지들이 부러져 떨어지고,
바람은 골짜기에 갇혀
죽을 때까지 비명을 지른다.","Not only are many animals running around
in the creaking cold,
but the trees cry out and limbs snap and fall,
and the wind gets caught in a ravine
and screams until it dies."
"어느 시끄러운 밤에 나는 이것을 적었다:","One noisy night I put this down:"
"누군가가 내 침실에 있다.","There is somebody in my bedroom."
"나는 작은 인사 소리와
작은 발이 벽을 올라가는 소리를 들을 수 있다.","I can hear small exchanges of greetings
and little feet moving up the wall."
"내가 불을 켤 때쯤이면 모든 것이 조용하다.","By the time I get to my light all is quiet."
"다음 날","Next Day"
"지난밤 내 방에 무언가가 있었다,
작은 터널이 내 문에서 눈 속으로 이어져 있다.","There was something in my room last night,
a small tunnel leads out from my door into the snow."
"그것은 놀라운 터널이다, 깔끔하게 다져져 있고,
마른 고사리에서 이끼 덩어리까지 이어진다.","It is a marvelous tunnel, neatly packed,
and it goes from a dried fern to a clump of moss."
"그러다 방향을 틀더니 사라진다.","Then it turns and disappears."
"나는 쥐라고 말하겠다.","I would say mouse."
"그날 밤","That Night"
"나는 불씨를 살려 두었고
방문객이 문에 도달하기 전에 빠르게 불을 켰다.","I kept an ember glowing
and got a light fast before the visitor could get to the door."
"그것은 쥐였다—완벽한 작은 흰발 사슴쥐
거대한 검은 눈과 깔끔한 하얀 발을 가진.","It was a mouse—a perfect little white-footed deer mouse
with enormous black eyes and tidy white feet."
"침입 현장에서 잡힌 그는,
뒤로 물러나지 않기로 결정했고,
나를 향해 몇 걸음 다가왔다.","Caught in the act of intruding,
he decided not to retreat,
but came toward me a few steps."
"나는 그에게 견과 알맹이를 건네주었다.","I handed him a nut meat."
