"Question","Answer"
"Ba-room, ba-room, ba-room, baripity, baripity, baripity, baripity—
좋았다.
아빠가 픽업트럭 시동을 걸었다.
이제 일어나도 됐다.","Ba-room, ba-room, ba-room, baripity, baripity, baripity, baripity—Good.
His dad had the pickup going.
He could get up now."
"Jess는 침대에서 미끄러져 나와
작업바지를 입었다.","Jess slid out of bed
and into his overalls."
"그는 셔츠는 신경 쓰지 않았다
왜냐하면 일단 달리기 시작하면
튀는 기름처럼 뜨거워질 테니까
아침 공기가 쌀쌀하더라도,
신발도 신경 쓰지 않았다
왜냐하면 발바닥이 이제는
닳아빠진 운동화만큼이나 질겨졌으니까.","He didn't worry about a shirt
because once he began running
he would be hot as popping grease
even if the morning air was chill,
or shoes
because the bottoms of his feet were by now
as tough as his worn-out sneakers."
"""어디 가, Jess?""
May Belle이 졸린 눈을 하고 몸을 일으켰다
그녀와 Joyce Ann이 함께 자는 더블 침대에서.","""Where you going, Jess?""
May Belle lifted herself up sleepily
from the double bed where she and Joyce Ann slept."
"""쉿.""
그가 경고했다.","""Sh.""
He warned."
"벽이 얇았다.","The walls were thin."
"엄마는 과일병에 갇힌 파리처럼 화를 낼 것이다
이 시간에 깨우기라도 하면.","Momma would be mad as flies in a fruit jar
if they woke her up this time of day."
"그는 May Belle의 머리를 쓰다듬고
꼬인 시트를 잡아당겨 올렸다
그녀의 작은 턱까지.","He patted May Belle's hair
and yanked the twisted sheet up
to her small chin."
"""그냥 소 목장 건너편에,"" 그가 속삭였다.","""Just over the cow field,"" he whispered."
"May Belle은 미소 짓고
시트 아래로 파고들었다.","May Belle smiled
and snuggled down under the sheet."
"""달리기 할 거야?""","""Gonna run?"""
"""글쎄.""","""Maybe."""
"물론 그는 달리기를 할 것이었다.","Of course he was going to run."
"그는 여름 내내 매일 일찍 일어났다
달리기를 하려고.","He had gotten up early every day all summer
to run."
"그는 생각했다
만약 노력하면—
그리고 맙소사, 정말 노력했다—
그는 가장 빠른 달리기 선수가 될 수 있을 거라고
5학년에서
학교가 시작되면.","He figured
if he worked at it—
and Lord, had he worked—
he could be the fastest runner
in the fifth grade
when school opened up."
"그는 가장 빨라야 했다—
가장 빠른 아이들 중 하나가 아니라
가장 빠른 아이 바로 다음이 아니라,
가장 빨라야 했다.","He had to be the fastest—
not one of the fastest
or next to the fastest,
but the fastest."
"단연 최고.","The very best."
