"Question","Answer"
"미낭카바우족에게로.
남자들은 아내의 가정에 들어가며
이혼이 발생할 경우 떠난다.","to the Minangkabau.
Men enter their wives' households
and leave in the event of a divorce."
"미낭카바우족은 당신에게 말할 것이다
여성이 자신들의 문화를 지배하지 않는다고.
대신, 그들의 사회는 합의에 의해 운영된다.","The Minangkabau would tell you
that women do not rule their culture.
Instead, their society is governed by consensus."
"여기에 언급된 다른 모계사회들도
아마 마찬가지로 동의할 것이다
여성이 지배하지 않는다고.","The other matriarchies mentioned here
would probably also agree
that women don't rule."
"그들은 단지
재산이나 노예처럼 취급받지 않을 뿐이다.","They just aren't treated
like property or slaves."
"누가 우두머리인지에 대한 집착을 넘어서는 것이
다른 문화들도
더 평등하게 다스리는 데 도움이 될 수 있다.","Getting past the obsession with who the boss is
may help other cultures
rule more equally, too."
"1. 이 기사의 주요 주제는 무엇인가?
(a) 모계사회의 이점
(b) 남자를 지배하는 여자
(c) 오늘날의 모계사회들
(d) 모계사회가 오늘날의 문화에 어떻게 이어졌는가","1. What is the main topic of the article?
(a) Benefits of a matriarchal society.
(b) Women ruling men.
(c) Today's matriarchal societies.
(d) How matriarchies led to today's cultures."
"2. 이 기사는 ____에 관한 것이다.
(a) 사회 구조
(b) 여성
(c) 갈등
(d) 장소","2. This article is about ____
(a) social structures
(b) women
(c) conflict
(d) places"
"3. 다음 중 사실이 아닌 것은?
(a) 모수오 남자들은 가축을 관리한다.
(b) 미낭카바우 사회는 합의에 의해 운영된다.
(c) 모수오 남자들은 아내의 가정에 와서 산다.
(d) 나고비시 여성들은 정원을 관리한다.","3. Which of the following statements is NOT true?
(a) Mosuo men take charge of livestock.
(b) Minangkabau society is governed by consensus.
(c) Mosuo men come to live in their wives' households.
(d) Nagovisi women control the gardens."
"4. 위 세 사회의 아이들은 ____
(a) 아마 어머니의 성을 따른다
(b) 아마 일정 나이가 될 때까지 아버지와 산다
(c) 아마 불행하다
(d) 아마 정원에서 일한다","4. Children in the three societies above ____
(a) probably take their mothers' family names
(b) probably live with their fathers until they reach a certain age
(c) are probably unhappy
(d) probably work in gardens"
"5. 두 번째 단락은 귀중한 가보(heirloom)를 언급한다.
가보란 ____이다.
(a) 여러 세대에 걸쳐 가족에게 속하는 물건
(b) 오래된 가족 재산
(c) 가족의 땅에서 일하기 위한 도구
(d) 종교적 물건이나 의식에 사용되는 물건","5. The second paragraph mentions valuable heirlooms.
An heirloom is ____
(a) an object that belongs to a family for generations
(b) old family money
(c) tools meant for working on a family's land
(d) a religious object or an object used in rituals"
"6. 2~4번째 단락은 ____
(a) 개인적 이야기를 들려준다
(b) 서로 대조하는 데 사용된다
(c) 인과관계를 보여준다
(d) 구체적 사례를 제시한다","6. Paragraphs two through four ____
(a) tell personal stories
(b) are used to contrast each other
(c) show cause and effect
(d) present specific cases"
