"Question","Answer","Key Word"
"화재 경보가 우리에게 알렸다
문제가 있다고.","The fire alarm alerted us
that there was a problem.","alert (v.)
To alert someone is to tell or warn that person about something."
"우리는 그 방송을 봤다
지역 뉴스의
TV로.","We watched the broadcast
of the local news
on TV.","broadcast (n.)
A broadcast is a television or radio show."
"생방송 뉴스 속보가 있었다
그 도시의 경제를 보도하는.","There was a live bulletin
reporting on the economy of the city.","bulletin (n.)
A bulletin is a news report about very recent and important events."
"원숭이는 머리에 혹이 생겼다
돌에 맞았기 때문에.","The monkey got a bump on his head
because he was hit by a rock.","bump (n.)
A bump is a small raised area on a surface."
"엄마는 채소를 썰었다
스튜에 넣기 위해.","Mom chopped some vegetables
to put into the stew.","chop (v.)
To chop something means to cut it into pieces with a tool."
"마리는 옷이 많다
그녀의 옷장 안에.","Marie has many clothes
inside of her closet.","closet (n.)
A closet is a small room used to store things."
"내 개가 달아났을 때,
아빠가 나를 위로했다.","When my dog ran away,
my dad consoled me.","console (v.)
To console is to give comfort to a person who feels sad."
"나는 주거 지역에 산다
워싱턴주 시애틀의.","I live in a residential district
of Seattle, Washington.","district (n.)
A district is a small part of a city, county, state, or country."
"나는 옷을 넣었다
빈 서랍들 안에.","I put my clothes
into the empty drawers.","drawer (n.)
A drawer is a small part in furniture that is used to store things."
"그녀는 견뎌야 했다
남편이 하루 종일 소리치는 것을.","She had to endure
her husband shouting all day long.","endure (v.)
To endure means to experience and survive something difficult."
"어떤 사람들은 처형된다
중범죄로.","Some people are executed
for serious crimes.","execute (v.)
To execute means to kill someone as a legal punishment."
"그는 돈가방을 움켜쥐었다
단단히.","He grasped the bag of money
tightly.","grasp (v.)
To grasp something means to hold it."
"그 남자는 트럭 뒷부분에 실었다
상자들을.","The man loaded the rear of his truck
with boxes.","rear (n.)
The rear of something is the back part of that thing."
"그 젊은 상원의원은 약속했다
사람들을 도울 법을 만들겠다고.","The young senator promised
to make laws that would help the people.","senator (n.)
A senator is someone who makes laws for a state."
"뇌는 보호받는다
두개골에 의해.","The brain is protected
by the skull.","skull (n.)
A skull is the hard head bone that protects the brain."
"엄마는 반죽을 저었다
그것이 부드러워질 때까지.","Mom stirred the batter
until it was smooth.","stir (v.)
To stir something means to mix it using something small, like a spoon."
