"Question","Answer"
"그들은 살았다","They lived"
"150에이커의 농장에서.","on a 150-acre farm."
"나는 믿는다","I believe"
"사후세계가 있다고.","that there is an afterlife."
"그는 즐겼다","He enjoyed"
"이집트의 대피라미드 방문을","visiting the Great Pyramids of Egypt"
"그가 고고학을 사랑하기 때문에.","because he loves archaeology."
"회의가 열렸다","The meeting was held"
"교수 회의실에서.","in the faculty chamber."
"강이 깎아냈다","The river cut"
"수로를","a channel"
"바위 사이로.","through the rocks."
"지구는 가지고 있다","Earth has"
"단단한 내부 핵을.","a solid inner core."
"그는 이용했다","He took"
"왼쪽의 복도를","the corridor on the left"
"그의 사무실로 가기 위해.","to go to his office."
"그는 가지고 있다","He has"
"독특한 억양을.","a distinct accent."
"오직 엘리트 집단만","Only an elite group"
"허용되었다 회원 자격이","was allowed membership"
"그 클럽에.","into the club."
"로봇을 설계한 후,","After engineering the robot,"
"그들은 찾아야 했다","they needed to find"
"그것을 만들기 위한 올바른 부품을.","the correct parts to build it."
"내 할아버지가","My grandfather"
"설립했다 시티 은행을.","founded the City Bank."
"작은 틈이 있다","There is a small gap"
"나무 블록 사이에.","between the blocks of wood."
"그들은 즐겼다","They enjoyed"
"아름다운 일몰의 장관을.","the glory of the beautiful sunset."
"그들은 보았다","They looked at"
"상자의 내부를.","the interior of the box."
"우리는 갔다","We went"
"사자를 보러","to see the lion"
"동물원에.","at the zoo."
"사무실에서 그녀의 역할은","Her role in the office is"
"제품을 판매하는 것이다 고객에게.","to sell products to customers."
"공작 부인은","The Duchess was"
"왕실 가문의 일원이었다.","part of the royal family."
"그녀는 유일한 여성이었다","She was the sole woman"
"그 방에서.","in the room."
"그는 이용했다 계단을","He took the stairs"
"엘리베이터 대신.","instead of the elevator."
"그녀는 닦았다","She wiped"
"탁자의 표면을.","the surface of the table."
"그 말은 가지고 있었다","The horse had shoes"
"철로 만든 편자를.","made of iron."
"그는 사용했다 사다리를","He used a ladder"
"그의 트리하우스 꼭대기로","to climb to the top"
"올라가기 위해.","of his tree house."
"데릭은 매우 겸손하다","Derek is very modest"
"그렇게 부유한 사람치고는.","for someone who is so rich."
"케빈과 앨리스는 차지했다 의자들을","Kevin and Alice occupied the chairs"
"그리고 가졌다 긴 토론을.","and had a long discussion."
"미국 대통령 에이브러햄 링컨이","US President Abraham Lincoln"
"페니에 있다.","is on the penny."
"아론은 자주 설교했다","Aaron often preached"
"정직한 삶을 사는 것에 대해.","about living an honest life."
"프랭크의 새로운 사업은","Frank's new business"
"마침내 번창했다","finally prospered"
"수년간의 노력 끝에.","after many years of hard work."
"캐나다는 나뉘어 있다","Canada is divided"
"여러 다른 주들로.","into several different provinces."
"버드는 가득 찼다 만족감으로","Bird was filled with satisfaction"
"그가 보았을 때","when he saw"
"저녁 식사로 무엇이 있는지를.","what was for dinner."
"풍력은 깨끗한 방법이다","Wind power is a clean way"
"도시에 에너지를 공급할 수 있는.","to sustain a city with energy."
"나는 생각한다 너가 받을 것이라고","I think you'll get"
"톰의 동의를","Tom's agreement"
"이 제안에 대한.","to this proposal."
"어려움이 생겼다 컴퓨터에","Difficulties arose with the computer"
"그것이 오래되어서.","because it was old."
"그 학생의 후원자가","The student's benefactor"
"그에게 돈을 주었다","gave him money"
"그의 학업에 쓰도록.","to spend on his studies."
"대장장이는 두드렸다 금속 조각을","The blacksmith pounded the piece of metal"
"그것이 납작해질 때까지.","until it was flat."
"그 고양이는 앉아 있었다","The cat was sitting"
"지붕 위에","on the roof"
"굴뚝 옆에.","next to the chimney."
"그녀의 상사는 보상해 주었다","Her boss compensated her"
"그녀에게 추가 업무에 대해","for the extra work"
"그녀가 지난주에 한.","she did last week."
"나는 마주쳤다 바다거북을","I encountered a sea turtle"
"내가 수영하고 있는 동안.","while I was swimming."
"내가 한도를 초과했기 때문에,","Since I exceeded my limit,"
"나는 결심했다","I decided"
"신용카드를 없애기로.","to get rid of my credit cards."
"스테이시와 헤더는 만들어냈다 그들의 우정을","Stacy and Heather forged their friendship"
"그들이 십대였을 때.","when they were teenagers."
"비록 밥이 가장 똑똑한 소년이지만 그의 반에서,","Even though Bob is the smartest boy in his class,"
"그는 겸손하다.","he is humble."
"티나는 받았다 이상한 소포를","Tina acquired a strange package"
"어제.","yesterday."
"그의 커피 컵을 떨어뜨린 후,","After dropping his coffee cup,"
"로비는 어색함을 느꼈다.","Robbie felt awkward."
"우리 할머니의 간병인은","My grandmother's caretaker"
"그녀를 돕는다","helps her"
"집 안에서 돌아다니는 것을.","get around the house."
"그는 시도했다","He tried"
"그의 친구들을 속이려고","to deceive his friends"
"카드 마술로.","with a card trick."
"페리 선생님은 단념시켰다 학생들이","Mr. Perry discouraged the students"
"학교를 그만두는 것을.","from quitting school."
"그 모델은 쓰고 있었다","The model was wearing"
"가짜 머리카락을.","fake hair."
"나는 가지고 있다 증오심을","I have a hatred"
"약의 맛에 대한.","for the taste of medicine."
"우리 모두는 들어갔다","We all went"
"오두막 안으로","into the hut"
"잠자기 위해.","to sleep."
"100년 전에 만들어진 자동차들은","Cars built a hundred years ago"
"열등하다 오늘날 만들어진 것들에 비해.","are inferior to ones built today."
"우리의 스키 여행 동안,","During our ski trip,"
"우리는 머물렀다 산장에서.","we stayed at a lodge."
"윌리엄은 방치했다 그의 방을,","William neglected his room,"
"그래서 그것은 완전히 엉망이다.","so it is a complete mess."
"학생들은 즐겁게 환영했다","The students happily welcomed"
"새로 온 사람을","the newcomer"
"학교에.","to the school."
"자동차를 훔치는 것은","Stealing a car"
"매우 심각한 범죄이다.","is a very serious offense."
"브렌다는 못 봤다 마지막 계단을","Brenda overlooked the last step"
"그리고 심하게 넘어졌다.","and had a bad fall."
"그녀는 보답했다 그녀의 친구에게","She repaid her friend"
"그의 모든 노력에 대해","for all of his hard work"
"작은 선물로.","with a small gift."
"스티브는 우스꽝스러워 보였다","Steve looked ridiculous"
"그 거대한 파란 선글라스를 쓰고서.","with those huge blue sunglasses."
"미나는 자주 받았다 만족스러운 성적을","Mina often received satisfactory grades"
"그녀가 매우 열심히 공부했기 때문에.","since she studied so hard."
"양치기는 옮겼다 양들을","The shepherd moved the sheep"
"다른 들판으로.","to another field."
"비록 위험했지만,","Even though it was dangerous,"
"그들은 모험적으로 갔다 산 위로.","they ventured up the mountain."
"황금빛 밀밭은","The field of golden wheat"
"준비되어 있었다 수확될.","was ready to be harvested."
"우리 집 뒤의 골목은","The alley behind my house"
"더러워 보인다.","looks dirty."
"그녀는 사용했다 도끼를","She used an ax"
"나무를 자르기 위해 불을 위한.","to cut some wood for the fire."
"그녀는 배가 고팠다,","She was hungry,"
"그래서 그녀는 먹었다 포도 한 송이 전체를.","so she ate the entire bunch of grapes."
"그것은 니키의 집안일이다","It's Nikki's chore"
"설거지하는 것","to do the dishes"
"매주 화요일과 수요일 밤마다.","every Tuesday and Wednesday night."
"에릭은 했다 괜찮은 일을","Eric did a decent job"
"울타리를 칠하는.","painting the fence."
"이것은 부끄러운","This is a disgraceful"
"돈 낭비이다.","waste of money."
"그녀는 가리켰다 그녀의 팔꿈치를","She pointed to her elbow"
"나에게 보여주기 위해","to show me"
"그녀가 어디를 다쳤는지.","where she hurt herself."
"그 소녀들은 감사했다 기회에 대해","The girls were grateful for the chance"
"그들의 할아버지를 방문할.","to visit their grandfather."
"카렌의 오빠는 짜증나게 했다 그녀를","Karen's brother irritated her"
"그가 그녀에게 말했을 때","when he told her"
"그녀의 카메라를 잃어버렸다고.","that he had lost her camera."
"나는 진짜로 화난 게 아니야.","I am not really mad."
"나는 농담했었어","I was kidding"
"내가 화났다고 말했을 때.","when I said I was angry."
"그 볼트는 헐거웠다,","The bolt was loose,"
"그래서 나는 조였다 그것을 렌치로.","so I tightened it with the wrench."
"그들 둘 다 기분이 상했다","They were both offended"
"그들이 서로에게 말한 것에 의해.","by what they had said to each other."
"캠핑객들은 머물렀다","The campers stayed"
"텐트에서 밤새도록.","in the tent overnight."
"비록 그 수업이 어려웠지만,","Even though the lesson was difficult,"
"그는 끈질기게 계속했다 그가 이해할 때까지.","he persisted until he understood."
"많은 아름다운 소나무들이 있었다","There were many beautiful pine trees"
"숲 속에.","in the forest."
"그 남자는 가지고 있었다 끔찍한 흉터들을","The man had horrible scars"
"그의 뺨과 이마에.","on his cheek and forehead."
"엄마는 받았다 고통스러운 느낌을","Mom got a painful sensation"
"그녀의 머리에","in her head"
"시끄러운 소음으로부터.","from the loud noise."
"마빈은 좋아한다 그의 썰매 타는 것을","Marvin likes to ride his sled"
"언덕 아래로","down the hill"
"겨울에.","in winter."
"제이크는 놀렸다 찰리를","Jake teased Charlie"
"그가 새로운 학생이었기 때문에.","because he was the new student."
"해리는 원했다 몰리가","Harry wanted Molly"
"그의 발렌타인이 되기를.","to be his valentine."
"낸시는 익혔다 그녀 자신을","Nancy acquainted herself"
"새로운 컴퓨터에.","with the new computer."
"일부 사람들은 무서워한다","Some people are scared"
"묘지를.","of cemeteries."
"그 생명체들은 산다","Those creatures live"
"아프리카에.","in Africa."
"마녀는 저주했다","The witch cursed"
"그 마을을.","the village."
"모두가 알았다 그것이 아빠라는 것을","Everyone knew that it was Dad"
"산타 분장 속의.","in the Santa disguise."
"그들의 식탁은 모두 차려졌다","Their table was all set"
"화려한 저녁 식사를 위해.","for a fancy dinner."
"우리는 가져갔다 손전등을","We took a flashlight"
"우리가 캠핑 갔을 때.","when we went camping."
"그녀는 썼다 그녀의 후드를","She put on her hood"
"그녀의 머리를 따뜻하게 유지하기 위해.","to keep her head warm."
"거주자들의 수는 시골에서","The number of inhabitants in the countryside"
"증가하고 있다.","is increasing."
"좋은 어머니는 자양분을 줄 것이다","A good mother will nourish"
"그녀의 아기에게","her baby"
"매일.","every day."
"해적들은","Pirates are"
"매우 무서운 인물들이다.","very scary characters."
"그녀는 구독자였다","She's been a subscriber"
"그 출판물의","to that publication"
"10년 이상 동안.","for over ten years."
"나는 답할 수 없었다 웬디의 수수께끼에,","I could not answer Wendy's riddle,"
"하지만 그것이 나를 웃게 만들었다.","but it made me laugh."
"그 오래된 통나무는","The old log began"
"썩기 시작했다 숲 속에서.","to rot in the forest."
"나의 근무일은","My workday"
"곧 끝날 것이다.","will end shortly."
"해골이 있다","There is a skeleton"
"과학 교실에.","in the science classroom."
"우리는 두었다 그 과일을 밖에 너무 오래,","We left the fruit out too long,"
"그래서 그것이 상했다.","and it spoiled."
"전쟁 중에,","During the war,"
"많은 사람들이 굶주렸다.","many people starved."
"이 서퍼는 즐긴다 스릴을","This surfer enjoys the thrill"
"큰 파도를 타는.","of surfing a big wave."
"나의 상사는","My boss is"
"매우 사악한 사람이다.","a very wicked man."
"화재 경보가 우리에게 알렸다","The fire alarm alerted us"
"문제가 있다고.","that there was a problem."
