"Question","Answer"
"10월 28일","October 28"
"나는 산을 오르내렸다
일주일 동안 매일,
호두와 히코리 열매가
익었는지 살펴보며.","I have been up and down the mountain
every day for a week,
watching to see if walnuts and hickory nuts
are ripe."
"오늘 나는 발견했다
나무 위 온통 다람쥐들이
미친 듯이 열매를 수확하고 있는 것을,
그래서 익었든 안 익었든
내가 모아야겠다고 결심했다.","Today I found
the squirrels all over the trees,
harvesting them furiously,
and so I have decided that ripe or not,
I must gather them."
"나 아니면 다람쥐들이 가져간다.","It's me or the squirrels."
"나는 프라이트풀을
히코리 나무에 묶어 두고
호두나무로 가서
주머니를 채웠다.","I tethered Frightful
in the hickory tree
while I went to the walnut tree
and filled pouches."
"프라이트풀이
히코리 열매를 지켜 주었다.","Frightful
protected the hickory nuts."
"프라이트풀 덕분에 다람쥐들은
그녀를 꾸짖느라 너무 바빠서
열매를 가져갈 시간이 없다.","She keeps the squirrels
so busy scolding her
that they don't have time to take the nuts."
"다람쥐들은
프라이트풀을 꽤 무서워한다.","They are
quite terrified by her."
"좋은 작전이다.","It is a good scheme."
"내가 소리를 지르고
나무를 두드려서
다람쥐들을 쫓아내는 동안
열매를 모은다.","I shout
and bang the tree
and keep them away
while I gather."
"이렇게 많은 다람쥐는
본 적이 없다.","I have never seen
so many squirrels."
"가느다란 가지에 매달리고,
큰 가지 사이를 튀어다니며,
몰려드는 것 같다
숲 전체에서.","They hang from the slender branches,
they bounce through the limbs,
they seem to come
from the whole forest."
"다람쥐들은 메시지를 전달하는 게 틀림없다
서로에게—
어떤 종류의 열매가 있고
나무가 어디에 있는지 알려주는 메시지를.","They must pass messages
along to each other—
messages that tell what kind of nuts
and where the trees are."
"며칠 후,
저장고가 열매로 가득 차자
나는 사과 쟁탈전을 시작했다.","A few days later,
my storehouse rolling with nuts,
I began the race for apples."
"이 경쟁에 뛰어든 것은
다람쥐들, 너구리들,
그리고 뚱뚱한 늙은 스컹크였는데
한 입도 더 못 먹을 것 같아 보였다.","Entering this race were
squirrels, raccoons,
and a fat old skunk
who looked as if he could eat not another bite."
"그 스컹크는 자면서
가을 내내 먹은 것을 소화시킬 준비가 되어 있었고,
나는 그가 밉살스러웠다
내 사과가 필요하지도 않으면서 와서.","He was ready to sleep
his autumn meal off,
and I resented him
because he did not need my apples."
"하지만 그와
장난칠 생각은 없었다.","However, I did not
toy with him."
"모을 수 있는 사과를 모아서
일부는 얇게 썰어
바위 위에서 햇볕에 말렸다.","I gathered what apples I could,
cut some in slices,
and dried them on the boulder in the sun."
"일부는 저장용 나무에 넣어 두었다
바로 먹으려고.","Some I put in the storeroom tree
to eat right away."
"벌레가 좀 먹긴 했지만
정말 멋진 일이었다
다시 사과를 먹으니.","They were a little wormy,
but it was wonderful
to eat an apple again."
"그러던 어느 날 밤
이 모든 것이 끝나고
수확이 마무리되었다.","Then one night
this was all done,
the crop was gathered."
"내가 메모를 좀 하려고 앉았을 때
남작이 달려오는 것이 보였다.","I sat down to make a few notes
when The Baron came sprinting into sight."
