"Question","Answer","Key Word"
"시드니 오페라 하우스는
좋은 예이다
현대 건축의.","The Sydney Opera House
is a good example
of modern architecture.","architecture (n.)
Architecture is the design and form of a building."
"그는 채소를 넣었다
바구니에.","He put the vegetables
in a basket.","basket (n.)
A basket is a container made of woven materials that is used to carry things."
"하얀 데이지들이
막 피려던 참이었다.","The white daisies
were about to bloom.","bloom (v.)
To bloom is to produce an open flower."
"그는 카누를 저었다
호수 가장자리로.","He paddled his canoe
to the edge of the lake.","canoe (n.)
A canoe is a long, light boat with pointed ends."
"그의 하얀 거실 카펫은
부드러웠다.","His white living room carpet
was soft.","carpet (n.)
A carpet is a thick, heavy, woven fabric used to cover the floor."
"내 사촌은
나와 똑 닮았다.","My cousin
looks just like me.","cousin (n.)
A cousin is the child of one's aunt and uncle."
"그녀는 책들을 놓았다
자기 책상 위에.","She put the books
on her desk.","desk (n.)
A desk is a piece of furniture that people sit at to do work."
"그 미술관은
아름다운 그림들을 전시했다.","The art gallery
displayed beautiful paintings.","gallery (n.)
A gallery is a large space where people can see works of art."
"앨리스는 특별한 손님을 초대했다
저녁 식사에.","Alice invited a special guest
for dinner.","guest (n.)
A guest is someone who is invited to an event, occasion, or location."
"그는 ~였다
친절한 주최자.","He was
a gracious host.","host (n.)
A host is someone who invites a guest someplace."
"그녀의 생일은
7월에 있다.","Her birthday
is in July.","July (n.)
The seventh month of the year is July."
"그 부엌은
현대적인 모습이었다.","The kitchen
had a modern look.","modern (adj.)
A modern thing belongs to the current time."
"루브르는
유명한 박물관이다
프랑스에 있는.","The Louvre
is a famous museum
in France.","museum (n.)
A museum is a building that displays cultural, social, and scientific objects."
"그녀는 골랐다
분홍색 립스틱을.","She chose
a pink lipstick.","pink (adj.)
Pink is a pale shade of red."
"그들은 비행기를 탔다
바다를 건너
인도로.","They took a plane
across the ocean
to India.","plane (n.)
A plane is a vehicle that has an engine and wings and flies in the air."
"그는 우유, 달걀, 버터를 보관했다
냉장고에.","He kept milk, eggs, and butter
in the refrigerator.","refrigerator (n.)
A refrigerator is a large electrical machine used to keep food cold."
"겨울에는
기온이
0도 아래로 떨어질 수 있다.","In the winter,
the temperature
can drop below 0 degrees.","temperature (n.)
A temperature is a measure of how hot or cold something is."
"그는 그녀를 데려갔다
코미디 쇼를 보러
극장에서.","He took her
to see a comedy show
at the theater.","theater (n.)
A theater is a place where people can watch movies or live shows."
"그는 엘리베이터를 탔다
위층으로.","He took the elevator
to the upper floor.","upper (adj.)
An upper position is a higher position."
"그녀는 친구들을 맞이했다
따뜻한 환영으로.","She greeted her friends
with a warm welcome.","welcome (v.)
To welcome is to greet someone or something with pleasure."
"캐리는 기대했다
아기의 탄생을.","Carrie anticipated
the arrival of her baby.","anticipate (v.)
To anticipate something is to think that it will happen."
"빈 통이 하나 있었다
집 밖에.","There was an empty barrel
outside the house.","barrel (n.)
A barrel is a round thing that you can keep liquids in."
"현대의 고층 건물들은
많은 대들보로 만들어진다.","Modern skyscrapers
are made with many beams.","beam (n.)
A beam is a heavy bar."
"너는 캐주얼한 옷을 입어도 된다
청바지 같은
파티에.","You can wear casual clothes,
like jeans,
to the party.","casual (adj.)
A casual thing is relaxed or simple."
"전동 톱을 사용하세요
주의해서.
그것은 매우 위험합니다.","Please use the power saw
with caution.
It is very dangerous.","caution (n.)
Caution is care and attention in order to avoid danger."
"밖은 전혀 따뜻하지 않다.
오히려
꽤 춥다.","It isn't warm outside at all.
On the contrary,
it is quite cold.","contrary (adj.)
A contrary thing is the opposite to another thing."
"버니는 고의적인 시도를 했다
앤디를 다치게 하려고.","Bernie made a deliberate attempt
to injure Andy.","deliberate (adj.)
A deliberate action is one done on purpose, not by accident."
"나는 알약을 녹였다
물 한 잔에.","I dissolved the pill
in a glass of water.","dissolve (v.)
To dissolve something is to mix it into a liquid until it disappears."
"낡은 TV가 터졌다
내가 플러그를 꽂았을 때.","The old TV exploded
when I plugged it in.","explode (v.)
To explode is to suddenly move apart in many smaller pieces."
"엘리자베스는 맸다
안전벨트를.","Elizabeth fastened
her seat belt.","fasten (v.)
To fasten something is to close it or attach it to something."
"세균은 있다
모든 것 위에
네가 만지는.","Germs are
on everything
that you touch.","germ (n.)
A germ is a very small living thing that can make people sick."
"구급상자가 있나요
당신 사무실에?","Is there a first aid kit
in your office?","kit (n.)
A kit is a set of all the things needed to do something."
"연기 한 모금이
타버린 성냥에서 나왔다.","A puff of smoke
came from the burnt match.","puff (n.)
A puff is a little bit of smoke or steam."
"걸레를 사용하세요
먼지를 닦기 위해
탁자에서.","Please use a rag
to clean the dust
off the table.","rag (n.)
A rag is a small towel."
"나는 실수로 흩뿌렸다
내 알약 전부를.","I accidentally scattered
all of my pills.","scatter (v.)
To scatter something is to make it go in many places."
"줄리는 즐겼다
꽃들의 향기를.","Julie enjoyed
the scent of the flowers.","scent (n.)
A scent is a smell."
"새 아파트 건물은
강철로 만들어졌다.","The new apartment building
was made with steel.","steel (n.)
Steel is a strong gray metal."
"그 날렵한 말은
장애물을 쉽게 뛰어넘었다.","The swift horse
easily jumped over the hurdle.","swift (adj.)
A swift person or animal is fast."
"그는 동전을 던졌다
공중으로.","He tossed a coin
into the air.","toss (v.)
To toss something is to throw it softly."
"그는 상을 들어올렸다
승리감에 차서
연설 끝에.","He raised the award
in triumph
at the end of his speech.","triumph (n.)
Triumph is the act or feeling of winning."
"그들은 카약에 올라탔다
그리고 강을 저어 나아갔다.","They climbed aboard the kayak
and paddled through the river.","aboard (prep.)
Someone aboard a ship or plane is in or on it."
"그는 몹시 화가 났다
컴퓨터가 고장 났을 때.","He was extremely bitter
when his computer crashed.","bitter (adj.)
A bitter person feels upset or angry about something."
"총알은 다양한 크기로 나온다
다양한 총에 맞게.","Bullets come in different sizes
for different guns.","bullet (n.)
A bullet is a small metal object that is shot out of a gun."
"교회는 보호를 약속했다
악마로부터.","The church promised protection
from the devil.","devil (n.)
The devil is a powerful evil spirit in some religions."
"큰 얼음덩어리가
물 위를 떠다녔다.","The large chunk of ice
drifted in the water.","drift (v.)
To drift means to be moved slowly by wind or water."
"경찰은 교통법규를 집행한다
모두를 안전하게 지키기 위해.","Police enforce traffic laws
to keep everyone safe.","enforce (v.)
To enforce means to make a person follow a rule."
"아름다운 분수가 있었다
공원 한가운데에.","There was a beautiful fountain
in the middle of the park.","fountain (n.)
A fountain is a source of water made by people."
"작은 배 몇 척이 있었다
항구에.","There were a few small boats
in the harbor.","harbor (n.)
A harbor is an area of water along a shore where boats land."
"아무도 살지 않는다
그 고대 도시에.","No one inhabits
the ancient city.","inhabit (v.)
To inhabit means to live in a certain place."
"군인들이 행진했다
곧게 줄지어.","The soldiers marched
in straight rows.","march (v.)
To march means to walk at a steady pace together with others."
"그는 백만장자가 되었다
돈을 현명하게 다뤘기 때문에.","He became a millionaire
because he was smart with his money.","millionaire (n.)
A millionaire is a person who has at least a million dollars."
"배에 짐이 실리고 있었다
자재로
항구에서.","The ship was being loaded
with materials
at the port.","port (n.)
A port is a place where ships stop to load and unload things."
"그것은 보안관의 일이었다
도시를 안전하게 만드는.","It was the sheriff's job
to make the city safe.","sheriff (n.)
A sheriff is a police officer who is in charge of a large area."
"그 큰 굉음이
자고 있던 여자를 놀라게 했다.","The loud crash
startled the sleeping woman.","startle (v.)
To startle means to scare someone suddenly."
"체육관에 갈 때마다
나는 꽤 많이 땀을 흘린다.","Whenever I go to the gym,
I sweat quite a bit.","sweat (v.)
To sweat means to lose liquid from the body through the skin."
"그 남자는 손가락을 올려놓고 있었다
총의 방아쇠에.","The man had his finger
on the trigger of the gun.","trigger (n.)
A trigger is the part of a gun that a person pulls to make it fire."
"착한 행동으로
아이들은 세상을 하나로 만들려 했다.","With their good deeds,
the children tried to unify the world.","unify (v.)
To unify means to bring people or things together."
"우리는 그 지역을 둘러봤다
호화로운 배를 타고.","We toured the area
aboard a luxury vessel.","vessel (n.)
A vessel is a large ship or boat."
